TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FOURNISSEUR;Manifattura Valcismon SPA (Castelli);Manifattura Valcismon SPA (Castelli);;
FOURNISSEUR;Maurten AB;Maurten AB;;
FOURNISSEUR;Menoud Bike;Menoud Bike;;
FOURNISSEUR;Messingschlager GmbH & Co. KG;Messingschlager GmbH & Co. KG;;
FOURNISSEUR;Miche;Miche;;
FOURNISSEUR;Moots Cycles;Moots Cycles;;
FOURNISSEUR;MTB Hopper;MTB Hopper;;
FOURNISSEUR;Muc-Off LTD;Muc-Off LTD;;
FOURNISSEUR;Muscat Bikes LLC;Muscat Bikes LLC;;
FOURNISSEUR;Overfast;Overfast;;
FOURNISSEUR;PACO BIKE;PACO BIKE;;
FOURNISSEUR;Paragon Shipping;Paragon Shipping;;
FOURNISSEUR;PARAGON SHIPPING AND LOGISTICS LLC;PARAGON SHIPPING AND LOGISTICS LLC;;
FOURNISSEUR;Parcours Velo Ltd;Parcours Velo Ltd;;
FOURNISSEUR;Partington;Partington;;
FOURNISSEUR;Pelotan Limited;Pelotan Limited;;
FOURNISSEUR;Petty Cash;Petty Cash;;
FOURNISSEUR;Pierer New Mobility GMBH ;Pierer New Mobility GMBH ;;
FOURNISSEUR;Pissei Srl;Pissei Srl;;
FOURNISSEUR;Planet Tax Free LLC;Planet Tax Free LLC;;
FOURNISSEUR;Plasmaide Europe B.V;Plasmaide Europe B.V;;
FOURNISSEUR;Plasmaide UK;Plasmaide UK;;
FOURNISSEUR;Poli Promotion;Poli Promotion;;
FOURNISSEUR;Polisport Plasticos S.A.;Polisport Plasticos S.A.;;
FOURNISSEUR;Pon.Bike Performance GmbH;Pon.Bike Performance GmbH;;
FOURNISSEUR;PORTS SHIPPING LLC;PORTS SHIPPING LLC;;
FOURNISSEUR;Puky GmbH & Co. KG;Puky GmbH & Co. KG;;
FOURNISSEUR;Purpose Performance Wear;Purpose Performance Wear;;
FOURNISSEUR;QINGDAO MAGNETIC GENE TECHNOLOGY CO.,LTD.(Magene);QINGDAO MAGNETIC GENE TECHNOLOGY CO.,LTD.(Magene);;
FOURNISSEUR;Radlabor GmbH;Radlabor GmbH;;
FOURNISSEUR;Rapha Racing Limited;Rapha Racing Limited;;
FOURNISSEUR;Rapid Gear CC;Rapid Gear CC;;
FOURNISSEUR;RapiLock axle;RapiLock axle;;
FOURNISSEUR;Rasen Adventure Shop;Rasen Adventure Shop;;
FOURNISSEUR;Recon Bike Components Co., Ltd;Recon Bike Components Co., Ltd;;
FOURNISSEUR;ReSkin;ReSkin;;
FOURNISSEUR;REVOLUTION GENERAL TRADING (REVOLUTION CYCLES DUBAI);REVOLUTION GENERAL TRADING (REVOLUTION CYCLES DUBAI);;
FOURNISSEUR;REX Articoli Tecnici S.A. ( Swissstop );REX Articoli Tecnici S.A. ( Swissstop );;
FOURNISSEUR;Right Media Advertising And Trading FZE;Right Media Advertising And Trading FZE;;
FOURNISSEUR;Robbies Bicycle Co (PTY) LTD;Robbies Bicycle Co (PTY) LTD;;
FOURNISSEUR;Rotor Componentes Tecnologicos, S.L.;Rotor Componentes Tecnologicos, S.L.;;
FOURNISSEUR;SABA Docharkh Co. LTD;SABA Docharkh Co. LTD;;
FOURNISSEUR;Santa Cruz Bicycles, LLC;Santa Cruz Bicycles, LLC;;
FOURNISSEUR;SCAN GLOBAL LOGISTICS;SCAN GLOBAL LOGISTICS;;
FOURNISSEUR;SCHWALBE | Ralf Bohle GmbH;SCHWALBE | Ralf Bohle GmbH;;
FOURNISSEUR;Scope Cycling Euro;Scope Cycling Euro;;
FOURNISSEUR;Scope Cycling USD;Scope Cycling USD;;
FOURNISSEUR;Scott Euro;Scott Euro;;
FOURNISSEUR;Scott USD;Scott USD;;
FOURNISSEUR;Scotty Browns Bicycle Emporium;Scotty Browns Bicycle Emporium;;
FOURNISSEUR;Seamark Shipping LLC;Seamark Shipping LLC;;
FOURNISSEUR;Seamax Shipping Services LLC;Seamax Shipping Services LLC;;
FOURNISSEUR;SeaSucker, LLC;SeaSucker, LLC;;
FOURNISSEUR;Selle Italia S.r.l.;Selle Italia S.r.l.;;
FOURNISSEUR;Selle Royal Group USA  ( Crank Brothers Inc );Selle Royal Group USA  ( Crank Brothers Inc );;
FOURNISSEUR;Selle Royal Romania SRL;Selle Royal Romania SRL;;
FOURNISSEUR;Selle Royal SPA (Fizik);Selle Royal SPA (Fizik);;
FOURNISSEUR;Shimano Turkish;Shimano Turkish;;
FOURNISSEUR;Shimano Turkish Euro;Shimano Turkish Euro;;
FOURNISSEUR;Shopify International Limited;Shopify International Limited;;
FOURNISSEUR;SIA Velo Sock;SIA Velo Sock;;
FOURNISSEUR;SIENNA Group Corp. (Profile Design);SIENNA Group Corp. (Profile Design);;
FOURNISSEUR;SIGMA-Elektro GmbH;SIGMA-Elektro GmbH;;
FOURNISSEUR;Silca Aeromind LLC;Silca Aeromind LLC;;
FOURNISSEUR;SINTER Ljubljana d.o.o.;SINTER Ljubljana d.o.o.;;
FOURNISSEUR;Slik Graphics;Slik Graphics;;
FOURNISSEUR;SnM gebioMized GmBH;SnM gebioMized GmBH;;
FOURNISSEUR;SPECIALIST LOGISTICS FREIGHT BROKER CO. LLC;SPECIALIST LOGISTICS FREIGHT BROKER CO. LLC;;
FOURNISSEUR;SRAM Corporation Europe;SRAM Corporation Europe;;
FOURNISSEUR;SRM Training System;SRM Training System;;
FOURNISSEUR;Stashed;Stashed;;
FOURNISSEUR;Super Sports Academy;Super Sports Academy;;
FOURNISSEUR;Superfoods Trading LLC;Superfoods Trading LLC;;
FOURNISSEUR;Syncergonomics;Syncergonomics;;
FOURNISSEUR;Taizhou YESTO IMP&EXP Co., Ltd;Taizhou YESTO IMP&EXP Co., Ltd;;
FOURNISSEUR;TAVELO XIAMEN SPORTS CO.,LTD;TAVELO XIAMEN SPORTS CO.,LTD;;
FOURNISSEUR;Tektro USA;Tektro USA;;
FOURNISSEUR;Temu;Temu;;
FOURNISSEUR;Test Supplier for Finance Use Only;Test Supplier for Finance Use Only;;
FOURNISSEUR;THE CYCLE HUB LLC;THE CYCLE HUB LLC;;
FOURNISSEUR;THM GmBH;THM GmBH;;
FOURNISSEUR;THULE Inc.;THULE Inc.;;
FOURNISSEUR;THULE Sweden AB;THULE Sweden AB;;
FOURNISSEUR;Timberline Tooling, Inc. (K-Edge);Timberline Tooling, Inc. (K-Edge);;
FOURNISSEUR;Time Bicycle Europe;Time Bicycle Europe;;
FOURNISSEUR;TNT;TNT;;
FOURNISSEUR;Traffic Distribution GmbH;Traffic Distribution GmbH;;
FOURNISSEUR;TRILIFE SPORTS;TRILIFE SPORTS;;
FOURNISSEUR;Tririg;Tririg;;
FOURNISSEUR;Tufo s.r.o;Tufo s.r.o;;
FOURNISSEUR;Tune GmbH;Tune GmbH;;
FOURNISSEUR;ULTRA COOL TECH;ULTRA COOL TECH;;
FOURNISSEUR;Ultrahuman Healthcare - Sole Proprietorship L.L.C.;Ultrahuman Healthcare - Sole Proprietorship L.L.C.;;
FOURNISSEUR;Unior Tools;Unior Tools;;
FOURNISSEUR;UPS Gulf LLC;UPS Gulf LLC;;
FOURNISSEUR;VELO PRESTO BICYCLES & SPARE PARTS;VELO PRESTO BICYCLES & SPARE PARTS;;
FOURNISSEUR;VeloBike Innovation;VeloBike Innovation;;
FOURNISSEUR;Velodrome-STS Ltd;Velodrome-STS Ltd;;
FOURNISSEUR;VELOMANIA Ltd;VELOMANIA Ltd;;
FOURNISSEUR;Vielo Sports LTD;Vielo Sports LTD;;
FOURNISSEUR;Wahoo Fitness;Wahoo Fitness;;
FOURNISSEUR;WE MAKE THINGS GmbH;WE MAKE THINGS GmbH;;
FOURNISSEUR;We Make Things GMBH - Euro;We Make Things GMBH - Euro;;
FOURNISSEUR;Webitation Pty Ltd -;Webitation Pty Ltd -;;
FOURNISSEUR;Wellcosan GmbH (Reboots);Wellcosan GmbH (Reboots);;
FOURNISSEUR;Wellgo Pedals Corp.;Wellgo Pedals Corp.;;
FOURNISSEUR;Wera Werkzeuge GMBH;Wera Werkzeuge GMBH;;
FOURNISSEUR;Wheels Manufacturing Inc.;Wheels Manufacturing Inc.;;
FOURNISSEUR;Wishwright Auto Spare Parts Trading LLC;Wishwright Auto Spare Parts Trading LLC;;
FOURNISSEUR;Wolf Tooth Components;Wolf Tooth Components;;
FOURNISSEUR;Wolfi's Bike Shop LLC;Wolfi's Bike Shop LLC;;
FOURNISSEUR;WOLFI'S RETAIL BIKE SHOP LLC;WOLFI'S RETAIL BIKE SHOP LLC;;
FOURNISSEUR;Wuhan Ailechi Technology Co., Ltd;Wuhan Ailechi Technology Co., Ltd;;
FOURNISSEUR;Wun Pang Bicycle Company Limited;Wun Pang Bicycle Company Limited;;
FOURNISSEUR;Xero (NZ) Ltd;Xero (NZ) Ltd;;
FOURNISSEUR;YAS Cycle;YAS Cycle;;
FOURNISSEUR;YETI Cycles;YETI Cycles;;
FOURNISSEUR;Yiwu Zoyo Sports Goods Co., Ltd.;Yiwu Zoyo Sports Goods Co., Ltd.;;
FOURNISSEUR;Zingerle Group;Zingerle Group;;
FOURNISSEUR;Zoho Corporation Pte Ltd;Zoho Corporation Pte Ltd;;
